Data;Wydatki budżetu państwa;Bezrobotni zarejestrowani;Przeciętna miesięczna nominalna emerytura i renta;Mieszkania oddane do użytkowania 
XII 2018;390454,30;968,90;2239,72;19970,00
I 2019;32149,60;1023,10;2245,71;17405,00
II 2019;65570,20;1016,70;2246,78;15021,00
III 2019;94776,30;984,70;2328,29;14991,00
IV 2019;130040,80;938,30;2330,71;17673,00
V 2019;164800,90;906,00;2350,99;14974,00
VI 2019;197217,60;877,10;2328,63;14412,00
VII 2019;233548,80;868,40;2330,27;16908,00
VIII 2019;264824,70;865,50;2360,80;17334,00
IX 2019;297814,20;851,20;2354,51;16998,00
X 2019;336084,00;840,50;2355,74;20592,00
XI 2019;368989,90;849,60;2352,16;19042,00
XII 2019;414273,00;866,40;2349,45;22075,00
I 2020;36845,00;922,20;2357,64;18501,00
II 2020;73245,10;919,90;2360,76;15507,00
III 2020;105552,60;909,40;2461,79;15569,00
IV 2020;148522,80;965,80;2459,28;14116,00
V 2020;182951,40;1011,70;2455,53;16343,00
VI 2020;214512,30;1026,50;2458,28;17036,00
VII 2020;252101,40;1029,50;2461,74;23648,00
VIII 2020;282208,40;1028,00;2490,82;16183,00
IX 2020;318266,40;1023,70;2489,89;19369,00
X 2020;356042,90;1018,40;2492,25;20973,00
XI 2020;395692,40;1025,70;2485,65;20560,00
XII 2020;504776,10;1046,40;2486,15;23026,00
I 2021;34010,70;1090,40;2560,03;17462,00
II 2021;70220,90;1099,50;2531,18;16322,00
III 2021;104474,90;1078,40;2617,07;19282,00
IV 2021;137907,80;1053,80;2616,18;19019,00
V 2021;172128,60;1026,70;2618,08;15772,00
VI 2021;205979,60;993,40;2620,26;17587,00
VII 2021;242829,90;974,90;2621,98;18952,00
VIII 2021;276736,30;960,80;2650,41;18583,00
IX 2021;312491,40;934,70;2657,18;21117,00
X 2021;353777,40;910,90;2661,86;22097,00
XI 2021;401063,00;898,80;2663,61;24463,00
XII 2021;521216,80;895,20;2661,29;24024,00
I 2022;36449,00;927,10;2669,32;16739,00
II 2022;80350,90;921,80;2678,79;18387,00
III 2022;120360,40;902,10;2884,28;19541,00
IV 2022;158849,40;878,00;2882,43;18631,00
V 2022;197910,70;850,20;2885,49;18109,00
VI 2022;235893,30;818,00;2889,68;17788,00
VII 2022;278631,60;810,20;2893,07;17435,00
VIII 2022;317580,00;806,90;2920,49;18677,00
IX 2022;355676,10;801,70;2927,25;21696,00
X 2022;398701,30;796,00;2931,77;22046,00
XI 2022;446252,40;800,20;2932,09;25913,00
XII 2022;517398,90;812,30;2940,00;23528,00
I 2023;43310,30;857,60;2946,27;19088,00
II 2023;93187,50;864,80;2959,06;15785,00
III 2023;136719,60;846,90;3449,10;20486,00
IV 2023;183678,80;821,90;3433,70;20845,00
V 2023;237207,60;802,30;3431,42;17728,00
VI 2023;283288,50;783,50;3427,31;18245,00
VII 2023;337103,30;782,40;3429,85;14929,00
VIII 2023;390369,70;782,50;3455,39;17785,00
IX 2023;452682,60;776,00;3458,26;16262,00
X 2023;511812,30;770,40;3459,80;20679,00
XI 2023;572973,70;773,40;3458,98;18194,00
XII 2023;659687,10;788,20;3460,83;21256,00
I 2024;47826,00;837,10;3463,83;14762,00
II 2024;111867,40;845,30;3477,69;16048,00
